"Raël Pastry
香颂雷尔",South Prt Carrot,Flour,–,–,–,Romantic
"Cooling Ice Cream
清凉冰淇淋",Poring Apple,Smokie Grape,–,–,–,Romantic
"Lil Smokie Cookie
小狸猫饼干",Smokie Grape,Salt,Flour,–,–,Romantic
"Sea Breeze Black Tea
海风红茶",Yoyo Banana,Milk,Sugar,–,–,Romantic
"Cheesecake
香甜芝士蛋糕",Goblin Strawberry,Milk,Flour,–,–,Romantic
"Angeling Parfait
天波芭菲",Smokie Grape,Goblin Strawberry,Poring Apple,–,–,Romantic
"Ancient Secret Iced Honey
古代秘传冰之蜜",Golem Watermelon,Bigfoot Pineapple,Vanilla,–,–,Romantic
"St. Vatican Bread
圣梵尼兹面包",Savage Meat,Golden Pumpkin,Vanilla,–,–,Romantic
"Super Delicious Cake
超绝美味蛋糕",Smokie Grape,Bigfoot Pineapple,Cream,–,–,Romantic
"Super Delicious Fruit Tea
超绝美味果茶",Bigfoot Pineapple,Golem Watermelon,Milk,–,–,Romantic
"Super Delicious Cookie
超绝美味饼干",Golem Watermelon,Poring Apple,Cream,–,–,Romantic
"Magical Bread
魔幻可口面包",Lunatic Meat,Smokie Grape,Salt,Flour,–,Romantic
"Magical Ice Cream
魔幻可口冰淇淋",Poring Apple,Goblin Strawberry,Sugar,Milk,–,Romantic
"Magical Cookie
魔幻可口曲奇",Yoyo Banana,Smokie Grape,Sugar,Milk,–,Romantic
"Mister’s Black Tea
贵公子的红茶",Goblin Strawberry,Poring Apple,Sugar,Vanilla,–,Romantic
"Alberta Specialty Cake
商人之城特产蛋糕",Yoyo Banana,Smokie Grape,Milk,Vanilla,–,Romantic
"Bigfoot Forest Cookie
大脚熊森林饼干",Goblin Strawberry,Yoyo Banana,Vanilla,Flour,–,Romantic
"Summer Star
夏日之星",Golem Watermelon,Goblin Strawberry,Cream,Cheese,–,Romantic
"Princess’s Tea
公主的下午茶",Golem Watermelon,Bigfoot Pineapple,Sugar,Cheese,–,Romantic
"Gartko Palace
加特柯所勒的宫殿",Bigfoot Pineapple,Yoyo Banana,Cream,Cheese,–,Romantic
"Prontera Royal Fruit Juice
普隆德拉皇家果汁",Golem Watermelon,Yoyo Banana,Smokie Grape,Cheese,Cream,Romantic
"Prontera Royal Cookie
普隆德拉皇家饼干",Golem Watermelon,Bigfoot Pineapple,Poring Apple,Cheese,Cream,Romantic
"Prontera Royal Ice Cream
普隆德拉皇家冰淇淋",Bigfoot Pineapple,Goblin Strawberry,Poring Apple,Cheese,Cream,Romantic
"Don’t Forget·Fruit Juice
勿忘初心·果汁",Golem Watermelon,Bigfoot Pineapple,Goblin Strawberry,Yoyo Banana,Rainbow Powder,Romantic
"Don’t Forget·Cookie
勿忘初心·饼干",Golem Watermelon,Bigfoot Pineapple,Goblin Strawberry,Yoyo Banana,MSG,Romantic
"Novice Ribs
初心小肉排",Any Meat Type,–,–,–,–,Luxury
"Novice Stir-Fry Veggie
初心小炒菜",Any Veggie Type,–,–,–,–,Luxury
"Novice Fish Steak
初心小鱼排",Any Fish Type,–,–,–,–,Luxury
"Novice Fruit Juice
初心小果酱",Any Fruit Type,–,–,–,–,Luxury
"Adventurer Stir-Fry Meat
旅行者炒肉",Lunatic Meat,Salt,–,–,–,Luxury
"Mixed Seafood Braise
海鲜小杂烩",Vadon Meat,Flour,–,–,–,Luxury
"Healthy Mixed Veggie
健康小拌菜",West Prt Tomato,Salt,–,–,–,Luxury
"Delicious Ribs
口水流流肉排",Picky Meat,Desert Wolf Meat,Mountain Celery,–,–,Luxury
"Seafood Baked Rice
海鲜焗饭",Marse Tentacles,Marina Meat,Milk,–,–,Luxury
"Vegetarian Meal
香浓素食餐",Magic Spore,Mountain Celery,Milk,–,–,Luxury
"Record of Fire God
火神的系谱",Savage Meat,Desert Wolf Meat,Chili,–,–,Luxury
"Oriental Seafood
东方风味海鲜烧",Marc Meat,Marse Tentacles,Chili,–,–,Luxury
"Spicy Vegetarian Meal
辣之枝·素食",Bamboo Eggplant,South Prt Carrot,Chili,–,–,Luxury
"Super Delicious Ribs
超绝美味肉排",Lunatic Meat,Bamboo Eggplant,Apple Vinegar,–,–,Luxury
"Super Delicious Fish Steak
超绝美味鱼排",Marc Meat,Marina Meat,Apple Vinegar,–,–,Luxury
"Super Delicious Mixed Veggie
超绝美味拌菜",Bamboo Eggplant,West Prt Tomato,Cream,–,–,Luxury
"Illusion Ribs
迷幻回味肉排",Picky Meat,Rocker Leg,Sugar,Salt,–,Luxury
"Illusion Grilled Seafood
迷幻回味海鲜烧",Marina Meat,Vadon Meat,Sugar,Salt,–,Luxury
"Illusion Salad
迷幻回味色拉",Mountain Celery,South Prt Carrot,Sugar,Chili,–,Luxury
"Geffen Ribs
吉芬特产肉排",Desert Wolf Meat,Picky Meat,Chili,Flour,–,Luxury
"Hydra
海德拉",Marina Meat,Hydra Meat,Chili,Vanilla,–,Luxury
"Forest Treasure
丛林之宝",Mountain Celery,South Prt Carrot,Sugar,Chili,–,Luxury
"Refined Desert Ribs
精制沙漠呼呼肉排",Savage Meat,Desert Wolf Meat,Apple Vinegar,Cheese,–,Luxury
"Soul Of Fisherman
渔夫之魂",Marc Meat,Marina Meat,Apple Vinegar,Sauce,–,Luxury
"Fragrant Veggie
香香香菜",Bamboo Eggplant,Mountain Celery,Sauce,Butter,–,Luxury
"Prontera Royal Ribs
普隆德拉皇家肉排",Savage Meat,Desert Wolf Meat,Lunatic Meat,Sauce,Butter,Luxury
"Prontera Royal Fish Steak
普隆德拉皇家鱼排",Marc Meat,Marse Tentacle,Hydra Meat,Cheese,Apple Vinegar,Luxury
"Prontera Royal Mixed Veggie
普隆德拉皇家拌菜",Bamboo Eggplant,Magic Spore,South Prt Carrot,Apple Vinegar,Sauce,Luxury
"Don’t Forget·Ribs
勿忘初心·肉排",Savage Meat,Muka Meat,Desert Wolf Meat,Picky Meat,MSG,Luxury
"Don’t Forget·Fish Steak
勿忘初心·鱼排",Marc Meat,Swordfish Meat,Marina Meat,Marse Tentacles,MSG,Luxury
"Don’t Forget·Mixed Veggie
勿忘初心·拌菜",Bamboo Eggplant,Golden Pumpkin,Magic Spore,Mountain Celery,MSG,Luxury
